alloy_a,alloy_b,n,r,r_lo,r_hi,r_partial,n_partial
AM50,AM50,104,1.0000,1.0000,1.0000,1.0000,104
AM50,AZ31,98,0.9092,0.8581,0.9390,0.8865,88
AM50,AZ91,94,0.9156,0.8600,0.9437,0.8862,84
AM50,CPMg220ppmFe,96,0.5177,0.3252,0.6648,0.4081,86
AM50,CPMg342ppmFe,20,0.2689,-0.2174,0.6296,0.0310,18
AM50,E21,98,0.7824,0.6678,0.8584,0.7055,88
AM50,HPMg50ppmFe,83,0.4243,0.2397,0.5867,0.3540,74
AM50,HPMg51ppmFe,74,0.8211,0.7307,0.8779,0.7627,66
AM50,MgCa,14,0.2420,-0.5531,0.7741,-0.1997,12
AM50,WE43,99,0.8317,0.7324,0.9005,0.7741,89
AM50,ZE41,99,0.7740,0.6790,0.8473,0.7250,89
AZ31,AM50,98,0.9092,0.8585,0.9393,0.8865,88
AZ31,AZ31,104,1.0000,1.0000,1.0000,1.0000,104
AZ31,AZ91,94,0.8570,0.7726,0.9169,0.8040,84
AZ31,CPMg220ppmFe,95,0.6300,0.4632,0.7515,0.5256,85
AZ31,CPMg342ppmFe,22,0.4371,-0.0125,0.7288,0.2004,19
AZ31,E21,95,0.7518,0.6373,0.8310,0.6648,85
AZ31,HPMg50ppmFe,83,0.5723,0.3992,0.7005,0.4813,74
AZ31,HPMg51ppmFe,73,0.8151,0.7280,0.8755,0.7607,65
AZ31,MgCa,15,0.3059,-0.2679,0.7314,0.1403,13
AZ31,WE43,97,0.8045,0.6983,0.8707,0.7410,87
AZ31,ZE41,100,0.8278,0.7400,0.8898,0.7682,90
AZ91,AM50,94,0.9156,0.8671,0.9465,0.8862,84
AZ91,AZ31,94,0.8570,0.7701,0.9155,0.8040,84
AZ91,AZ91,100,1.0000,1.0000,1.0000,1.0000,100
AZ91,CPMg220ppmFe,90,0.5414,0.3623,0.6839,0.4260,81
AZ91,CPMg342ppmFe,18,0.5850,0.0321,0.8412,0.4200,16
AZ91,E21,96,0.7715,0.6626,0.8444,0.6893,86
AZ91,HPMg50ppmFe,78,0.4783,0.2872,0.6327,0.3924,70
AZ91,HPMg51ppmFe,73,0.7850,0.6811,0.8630,0.7297,65
AZ91,MgCa,11,0.2916,-0.5429,0.8979,-0.1339,9
AZ91,WE43,97,0.8016,0.6996,0.8748,0.7329,87
AZ91,ZE41,95,0.7412,0.6276,0.8293,0.6540,85
CPMg220ppmFe,AM50,96,0.5177,0.3294,0.6524,0.4081,86
CPMg220ppmFe,AZ31,95,0.6300,0.4737,0.7535,0.5256,85
CPMg220ppmFe,AZ91,90,0.5414,0.3838,0.6802,0.4260,81
CPMg220ppmFe,CPMg220ppmFe,140,1.0000,1.0000,1.0000,1.0000,140
CPMg220ppmFe,CPMg342ppmFe,36,0.5504,0.2653,0.7466,0.4134,32
CPMg220ppmFe,E21,93,0.4482,0.2486,0.6101,0.3147,83
CPMg220ppmFe,HPMg50ppmFe,80,0.6511,0.4758,0.7802,0.5851,72
CPMg220ppmFe,HPMg51ppmFe,70,0.5467,0.3460,0.7052,0.4527,63
CPMg220ppmFe,MgCa,21,0.0540,-0.3277,0.4735,-0.1539,18
CPMg220ppmFe,WE43,95,0.5798,0.4264,0.6907,0.4780,85
CPMg220ppmFe,ZE41,96,0.6832,0.5386,0.7846,0.6105,86
CPMg342ppmFe,AM50,20,0.2689,-0.2093,0.6419,0.0310,18
CPMg342ppmFe,AZ31,22,0.4371,0.0229,0.7264,0.2004,19
CPMg342ppmFe,AZ91,18,0.5850,0.0874,0.8488,0.4200,16
CPMg342ppmFe,CPMg220ppmFe,36,0.5504,0.2670,0.7434,0.4134,32
CPMg342ppmFe,CPMg342ppmFe,62,1.0000,1.0000,1.0000,1.0000,62
CPMg342ppmFe,E21,20,0.3932,-0.0986,0.7579,0.1687,18
CPMg342ppmFe,HPMg50ppmFe,19,0.3745,-0.0556,0.6875,0.2483,17
CPMg342ppmFe,HPMg51ppmFe,20,0.5137,0.0609,0.7873,0.3570,18
CPMg342ppmFe,MgCa,45,0.0817,-0.2412,0.4066,0.0716,40
CPMg342ppmFe,WE43,21,0.3974,-0.0956,0.7696,0.1180,18
CPMg342ppmFe,ZE41,22,0.3258,-0.1025,0.6207,0.1029,19
E21,AM50,98,0.7824,0.6600,0.8552,0.7055,88
E21,AZ31,95,0.7518,0.6331,0.8346,0.6648,85
E21,AZ91,96,0.7715,0.6560,0.8447,0.6893,86
E21,CPMg220ppmFe,93,0.4482,0.2601,0.6067,0.3147,83
E21,CPMg342ppmFe,20,0.3932,-0.1215,0.7484,0.1687,18
E21,E21,102,1.0000,1.0000,1.0000,1.0000,102
E21,HPMg50ppmFe,81,0.3345,0.1174,0.5226,0.2366,72
E21,HPMg51ppmFe,75,0.8613,0.7511,0.9305,0.8174,67
E21,MgCa,13,0.2366,-0.4522,0.7240,-0.2551,11
E21,WE43,100,0.8443,0.7444,0.9063,0.7881,90
E21,ZE41,97,0.6662,0.5203,0.7720,0.5458,87
HPMg50ppmFe,AM50,83,0.4243,0.2305,0.5899,0.3540,74
HPMg50ppmFe,AZ31,83,0.5723,0.4132,0.7041,0.4813,74
HPMg50ppmFe,AZ91,78,0.4783,0.2932,0.6360,0.3924,70
HPMg50ppmFe,CPMg220ppmFe,80,0.6511,0.4716,0.7788,0.5851,72
HPMg50ppmFe,CPMg342ppmFe,19,0.3745,-0.1271,0.6956,0.2483,17
HPMg50ppmFe,E21,81,0.3345,0.1210,0.5387,0.2366,72
HPMg50ppmFe,HPMg50ppmFe,88,1.0000,1.0000,1.0000,1.0000,88
HPMg50ppmFe,HPMg51ppmFe,74,0.3906,0.1516,0.6033,0.2633,66
HPMg50ppmFe,MgCa,15,0.2540,-0.2666,0.7321,0.2173,13
HPMg50ppmFe,WE43,84,0.4683,0.2818,0.6143,0.3754,75
HPMg50ppmFe,ZE41,85,0.6117,0.4511,0.7360,0.5316,76
HPMg51ppmFe,AM50,74,0.8211,0.7272,0.8780,0.7627,66
HPMg51ppmFe,AZ31,73,0.8151,0.7257,0.8768,0.7607,65
HPMg51ppmFe,AZ91,73,0.7850,0.6741,0.8675,0.7297,65
HPMg51ppmFe,CPMg220ppmFe,70,0.5467,0.3403,0.6982,0.4527,63
HPMg51ppmFe,CPMg342ppmFe,20,0.5137,0.0284,0.7831,0.3570,18
HPMg51ppmFe,E21,75,0.8613,0.7590,0.9305,0.8174,67
HPMg51ppmFe,HPMg50ppmFe,74,0.3906,0.1536,0.5971,0.2633,66
HPMg51ppmFe,HPMg51ppmFe,80,1.0000,1.0000,1.0000,1.0000,80
HPMg51ppmFe,MgCa,13,0.2091,-0.4680,0.6431,-0.1455,11
HPMg51ppmFe,WE43,77,0.8890,0.8213,0.9312,0.8518,69
HPMg51ppmFe,ZE41,75,0.7298,0.5934,0.8123,0.6330,67
MgCa,AM50,14,0.2420,-0.5172,0.7241,-0.1997,12
MgCa,AZ31,15,0.3059,-0.2778,0.7140,0.1403,13
MgCa,AZ91,11,0.2916,-0.4712,0.9029,-0.1339,9
MgCa,CPMg220ppmFe,21,0.0540,-0.3529,0.4688,-0.1539,18
MgCa,CPMg342ppmFe,45,0.0817,-0.2617,0.3929,0.0716,40
MgCa,E21,13,0.2366,-0.4035,0.7571,-0.2551,11
MgCa,HPMg50ppmFe,15,0.2540,-0.2232,0.7006,0.2173,13
MgCa,HPMg51ppmFe,13,0.2091,-0.4915,0.6629,-0.1455,11
MgCa,MgCa,49,1.0000,1.0000,1.0000,1.0000,49
MgCa,WE43,14,0.1584,-0.4831,0.6163,-0.2098,12
MgCa,ZE41,15,0.3524,-0.2566,0.7898,0.1183,13
WE43,AM50,99,0.8317,0.7326,0.8985,0.7741,89
WE43,AZ31,97,0.8045,0.7102,0.8703,0.7410,87
WE43,AZ91,97,0.8016,0.7020,0.8736,0.7329,87
WE43,CPMg220ppmFe,95,0.5798,0.4201,0.7002,0.4780,85
WE43,CPMg342ppmFe,21,0.3974,-0.0368,0.7778,0.1180,18
WE43,E21,100,0.8443,0.7455,0.9066,0.7881,90
WE43,HPMg50ppmFe,84,0.4683,0.2871,0.6219,0.3754,75
WE43,HPMg51ppmFe,77,0.8890,0.8208,0.9328,0.8518,69
WE43,MgCa,14,0.1584,-0.5111,0.6466,-0.2098,12
WE43,WE43,104,1.0000,1.0000,1.0000,1.0000,104
WE43,ZE41,99,0.7856,0.6822,0.8655,0.7103,89
ZE41,AM50,99,0.7740,0.6756,0.8417,0.7250,89
ZE41,AZ31,100,0.8278,0.7444,0.8909,0.7682,90
ZE41,AZ91,95,0.7412,0.6238,0.8305,0.6540,85
ZE41,CPMg220ppmFe,96,0.6832,0.5485,0.7968,0.6105,86
ZE41,CPMg342ppmFe,22,0.3258,-0.1066,0.6323,0.1029,19
ZE41,E21,97,0.6662,0.5220,0.7707,0.5458,87
ZE41,HPMg50ppmFe,85,0.6117,0.4600,0.7329,0.5316,76
ZE41,HPMg51ppmFe,75,0.7298,0.6004,0.8143,0.6330,67
ZE41,MgCa,15,0.3524,-0.2607,0.7978,0.1183,13
ZE41,WE43,99,0.7856,0.6774,0.8634,0.7103,89
ZE41,ZE41,105,1.0000,1.0000,1.0000,1.0000,105
